 ;data;;;;;;;;;;;
 ; ; ; ;economicActivities;; ;;;; ;;
Exemplo;requestDateTime;updateDateTime;businessId;code;isMain;informedRevenueFrequency;informedRevenueAmount;informedRevenueCurrency;informedRevenueYear;informedPatrimonyAmount;informedPatrimonyCurrency;informedPatrimoneYear
1;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';578-psd-71md6971kjh-2d414';8599604';true';DIARIA;500.00';BRL';2020';200000.00';BRL';2020'
; ; ; ;6204000' ;false'; ; ; ; ; ; ; 
;;;;;;;;;;;;
2;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';139-psd-71md6971kjh-2d414';5320202';true';SEMANAL;2500.00';BRL';2020';30000.00';BRL';2019'
; ; ; ;6621502';false'; ; ; ; ; ; ; 
;;;;;;;;;;;;
3;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';479-psd-71md6971kjh-2d414';4781400';true';QUINZENAL;5000.00';BRL';2020';150000.00';BRL';2018'
; ; ; ; 2539001; ; ; ; ; ; ; ; 
;;;;;;;;;;;;
4;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';342-psd-71md6971kjh-2d414';8599604';true';MENSAL;10000.00';BRL';2020';297000.00';BRL';2020'
;;;;;;;;;;;;
5;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';317-psd-71md6971kjh-2d414';5320202';true';BIMESTRAL;20000.00';BRL';2020';258300.00';BRL';2019'
;;;;;;;;;;;;
6;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';693-psd-71md6971kjh-2d414';4781400';true';TRIMESTRAL;60000.00';BRL';2020';457000.00';BRL';2018'
;;;;;;;;;;;;
7;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';575-psd-71md6971kjh-2d414';8599604';true';SEMESTRAL;120000.00';BRL';2020';392000.00';BRL';2020'
;;; ;;;;;;;;;
8;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';579-psd-71md6971kjh-2d414';5320202';true';ANUAL;240000.00';BRL';2020';355000.00';BRL';2019'
;;;;;;;;;;;;
9;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';546-psd-71md6971kjh-2d414';4781400';true';DIARIA;759.00';BRL';2020';654100.00';BRL';2018'
;;;;;;;;;;;;
10;2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';658-psd-71md6971kjh-2d414';4781400';true';DIARIA;964.00';BRL';2020';329000.00';BRL';2020'
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
